IdSensore,NomeTipoSensore,UnitaMisura,DataStop,Idstazione
12691,Arsenico,ng/m³,,560
5712,Ozono,µg/m³,01/01/2018,510
20488,Particelle sospese PM2.5,µg/m³,,564
10043,PM10 (SM2005),µg/m³,,687
6342,Ossidi di Azoto,µg/m³,30/07/2018,515
6665,Ozono,µg/m³,,565
10270,Ozono,µg/m³,12/07/2023,655
5507,Biossido di Azoto,µg/m³,,504
10035,Benzene,µg/m³,,672
6831,Ossidi di Azoto,µg/m³,,657
9924,Monossido di Carbonio,mg/m³,01/01/2023,677
5685,Biossido di Zolfo,µg/m³,30/07/2003,576
10299,Benzene,µg/m³,30/07/2018,653
6623,Particolato Totale Sospeso,µg/m³,01/11/1999,574
9916,Ossidi di Azoto,µg/m³,30/07/2018,668
5616,Biossido di Zolfo,µg/m³,22/02/2008,609
10179,Biossido di Azoto,µg/m³,01/01/2017,704
5803,Monossido di Carbonio,mg/m³,04/01/2012,577
10347,Particelle sospese PM2.5,µg/m³,,670
5599,Biossido di Azoto,µg/m³,,596
20358,Particelle sospese PM2.5,µg/m³,,504
5575,Biossido di Azoto,µg/m³,,572
5714,Ozono,µg/m³,01/01/2018,535
5710,Ozono,µg/m³,,544
10343,PM10 (SM2005),µg/m³,,708
5620,Biossido di Zolfo,µg/m³,04/11/2006,525
20429,PM10 (SM2005),µg/m³,,501
6918,PM10 (SM2005),µg/m³,,560
12584,PM10 (SM2005),µg/m³,,627
6745,Biossido di Zolfo,µg/m³,18/11/2003,647
20428,PM10 (SM2005),µg/m³,07/04/2024,683
6690,Ossidi di Azoto,µg/m³,,642
6258,Ossidi di Azoto,µg/m³,07/02/2008,578
10038,Biossido di Azoto,µg/m³,,687
10185,PM10 (SM2005),µg/m³,01/01/2017,704
5621,Biossido di Zolfo,µg/m³,11/12/2009,532
10141,Ossidi di Azoto,µg/m³,01/01/2017,701
6962,PM10 (SM2005),µg/m³,,595
17127,Benzene,µg/m³,,501
5824,Monossido di Carbonio,mg/m³,01/07/2011,541
5590,Biossido di Azoto,µg/m³,05/05/2005,587
10025,Ozono,µg/m³,,685
10197,Particelle sospese PM2.5,µg/m³,,697
6907,PM10 (SM2005),µg/m³,01/01/2017,513
6374,Ossidi di Azoto,µg/m³,,571
5695,Biossido di Zolfo,µg/m³,11/04/2008,601
5965,Biossido di Azoto,µg/m³,,633
5606,Biossido di Azoto,µg/m³,01/01/2018,603
5618,Biossido di Zolfo,µg/m³,04/05/1999,529
5768,PM10,µg/m³,27/08/2003,562
6636,Particolato Totale Sospeso,µg/m³,19/02/2010,510
20082,Ammoniaca,µg/m³,,573
6731,Biossido di Zolfo,µg/m³,08/08/2003,645
9968,Ossidi di Azoto,µg/m³,,679
6318,Ossidi di Azoto,µg/m³,30/07/2018,505
5675,Biossido di Zolfo,µg/m³,05/08/1997,565
10089,Monossido di Carbonio,mg/m³,01/08/2020,696
20455,BlackCarbon,µg/m³,,501
5565,Biossido di Azoto,µg/m³,01/03/2015,562
6931,PM10 (SM2005),µg/m³,,583
6857,Ozono,µg/m³,25/02/2004,660
10112,Ozono,µg/m³,01/01/2017,698
5706,Ozono,µg/m³,01/01/2018,530
10073,Ossidi di Azoto,µg/m³,01/08/2020,694
6841,Biossido di Azoto,µg/m³,,659
12601,Nikel,ng/m³,31/12/2022,655
20401,Benzene,µg/m³,,571
5842,Monossido di Carbonio,mg/m³,,571
9772,Benzene,µg/m³,,600
6587,Biossido di Zolfo,µg/m³,,574
5513,Biossido di Azoto,µg/m³,01/01/2018,510
5617,Biossido di Zolfo,µg/m³,11/12/2017,508
6655,Particolato Totale Sospeso,µg/m³,19/06/2006,555
20104,Particelle sospese PM2.5,µg/m³,,592
12664,Piombo,ng/m³,,681
6338,Ossidi di Azoto,µg/m³,,545
5601,Biossido di Azoto,µg/m³,,598
5989,Benzene,µg/m³,,584
10176,Particelle sospese PM2.5,µg/m³,,703
10331,Biossido di Azoto,µg/m³,,709
6775,Biossido di Azoto,µg/m³,19/10/2005,651
9993,Biossido di Azoto,µg/m³,,682
5627,Biossido di Zolfo,µg/m³,08/02/2011,505
6762,Biossido di Zolfo,µg/m³,06/06/2000,649
10580,Biossido di Zolfo,µg/m³,,627
12696,Nikel,ng/m³,,609
12608,Arsenico,ng/m³,,546
5713,Ozono,µg/m³,20/07/2007,502
5789,Monossido di Carbonio,mg/m³,13/09/2011,591
6905,PM10 (SM2005),µg/m³,11/06/2007,502
6618,Particolato Totale Sospeso,µg/m³,30/03/2004,588
6799,Biossido di Zolfo,µg/m³,30/01/2007,654
5654,Biossido di Zolfo,µg/m³,26/03/2001,556
12020,Ozono,µg/m³,,1297
5580,Biossido di Azoto,µg/m³,30/07/2018,577
29001,BlackCarbon,µg/m³,28/05/2015,501
6404,Monossido di Carbonio,mg/m³,21/02/2007,625
10326,Biossido di Azoto,µg/m³,,708
12610,Piombo,ng/m³,,546
6268,Ossidi di Azoto,µg/m³,,600
10483,PM10 (SM2005),µg/m³,,1265
10501,PM10 (SM2005),µg/m³,12/07/2023,655
5709,Ozono,µg/m³,01/01/2018,512
5610,Biossido di Azoto,µg/m³,,607
6955,PM10 (SM2005),µg/m³,,663
5531,Biossido di Azoto,µg/m³,,528
12624,Nikel,ng/m³,,705
6953,PM10 (SM2005),µg/m³,,659
12603,Cadmio,ng/m³,31/12/2022,655
10108,Biossido di Azoto,µg/m³,01/01/2017,698
6793,Particolato Totale Sospeso,µg/m³,17/11/2013,653
6236,Ossidi di Azoto,µg/m³,30/07/2018,563
9854,Monossido di Carbonio,mg/m³,,672
10109,Biossido di Zolfo,µg/m³,,698
6691,Ozono,µg/m³,,642
6898,Biossido di Azoto,µg/m³,30/07/2018,668
12602,Arsenico,ng/m³,31/12/2022,655
6609,Particolato Totale Sospeso,µg/m³,24/03/2002,593
5673,Biossido di Zolfo,µg/m³,03/06/2003,587
5724,Ozono,µg/m³,01/01/2017,513
5550,Biossido di Azoto,µg/m³,30/07/2018,547
12662,Arsenico,ng/m³,,681
5520,Biossido di Azoto,µg/m³,,517
5802,Monossido di Carbonio,mg/m³,15/04/2010,566
6423,Ossidi di Azoto,µg/m³,03/04/2007,630
