Idstazione,NomeStazione,Quota,Comune,Utm_Nord,UTM_Est,lat,lng
556,Gallarate  P.zza S.Lorenzo,240,Gallarate,5056010,484229,45.65746297,8.79757739
603,Castiraga Vidardo v.Craxi,74,Castiraga Vidardo,5012170,531404,45.26232903,9.40029257
699,Magnacavallo campo sportivo,11,Magnacavallo,4985830,671675,45.00514363,11.1784001
657,Lonato del Garda v.del Marchesino,180,Lonato del Garda,5035536,615762,45.46375819,10.48078183
632,Pizzighettone v.Formigara,45,Pizzighettone,5003440,562333,45.18169064,9.79339003
662,Vobarno v.Sottostrada,242,Vobarno,5054759,617917,45.63636078,10.51296192
548,Milano v.Senato,118,Milano,5035238,515435,45.470501,9.19746075
505,Legnano v.Diaz,199,Legnano,5049180,493668,45.595389,8.922039
509,Rivolta d'Adda v.Beccaria,101,Rivolta d'Adda,5035130,539972,45.46855439,9.51135561
543,Vimercate v. dell'Ospedale,194,Vimercate,5051330,528723,45.611744,9.3677
572,Morbegno v.Cortivacci,262,Morbegno,5108901,543736,46.135486,9.56624
610,Cassano d'Adda v.le delle Rimembranze,141,Cassano d'Adda,5043871,537669,45.54735761,9.48256958
633,Soresina v. Landriani,70,Soresina,5014860,567712,45.28398,9.86340258
578,Varenna v.Polvani,220,Varenna,5095134,522088,46.00942731,9.28531411
627,Cremona P.zza Cadorna,39,Cremona,4998110,579872,45.13195042,10.01574064
562,Mariano Comense v.le Lombardia,256,Mariano Comense,5059472,514067,45.68865731,9.18065777
665,Viadana v. Cavalli,37,Viadana,4975705,619759,44.92469933,10.51750417
696,Monzambano campo sportivo,88,Monzambano,5027572,632338,45.38915861,10.69058081
538,Settimo Milanese v. Della Libertà,132,Settimo Milanese,5036306,504444,45.48027247,9.05686386
607,Abbadia Cerreto v. Fanfulla,64,Abbadia Cerreto,5017500,545920,45.30950506,9.58580022
576,Merate v. Madonna di Loreto,279,Merate,5060569,531623,45.69795956,9.40619194
1269,Dalmine v.Verdi,207,Dalmine,5055304,546847,45.64971,9.60123469
631,Piadena v. Cavour,30,Piadena,4998295,608506,45.12979431,10.37983739
625,Casalmaggiore v.Volta,23,Casalmaggiore,4981793,612537,44.98066517,10.42738161
643,Pavia p.zza Minerva,77,Pavia,5003660,511522,45.18633544,9.14667703
682,Ferrera Erbognone ENI,88,Ferrera Erbognone,4995567,490094,45.11351117,8.87407772
513,Trezzo sull'Adda v.Nenni,199,Trezzo sull'Adda,5051253,539618,45.61370028,9.508134
545,Motta Visconti v. De Gasperi,100,Motta Visconti,5014273,499103,45.28196356,8.98857592
1264,Sondrio v.Paribelli,290,Sondrio,5113073,567873,46.16785664,9.87921169
1267,Turano Lodigiano v. Gramsci,65,Turano Lodigiano,5010942,548751,45.25028636,9.62126692
575,Nibionno v.della Chiesa,310,Nibionno,5066429,520613,45.75111892,9.26502439
690,Mezzana Bigli loc. Casoni,73,Mezzana Bigli,4990697,489679,45.06966728,8.86890217
1265,Lodi S.Alberto,76,Lodi,5016706,538829,45.30278678,9.49528589
587,Casnigo via Europa,514,Casnigo,5073819,567412,45.81464142,9.86771003
510,Inzago v.le Gramsci,138,Inzago,5043030,538012,45.53976956,9.48689669
1374,Monza Parco,181,Monza,5049780,521452,45.603072,9.276156
588,Tavernola Bergamasca v.Riva di Sotto,191,Tavernola Bergamasca,5063058,581311,45.71630489,10.04477436
700,Melara v. dell'Artigianato,12,Melara,4992347,673928,45.06321458,11.20922257
703,Schivenoglia v. Malpasso,,Schivenoglia,4986922,663580,45.01688067,11.07609728
511,Abbiategrasso v. Serafino Dell'Uomo,118,Abbiategrasso,5026880,493223,45.39541003,8.91341828
705,Milano Pascal Città Studi,122,Milano,5036190,518405,45.478347,9.231667
669,Brescia Villaggio Sereno,70,Brescia,5040636,593101,45.51306214,10.19190606
546,Magenta v. F. Turati,137,Magenta,5034328,490635,45.46242074,8.88021388
574,Lecco v. Amendola,214,Lecco,5077479,530713,45.85019631,9.39558125
589,Nembro v.Locatelli,309,Nembro,5065779,559162,45.74304147,9.76054592
565,Cantù v.Meucci,369,Cantù,5064150,509783,45.73083728,9.12573936
566,Olgiate Comasco v.Roma,404,Olgiate Comasco,5070038,497388,45.78389908,8.96640489
541,Limbiate v. F. Turati,181,Limbiate,5049330,509823,45.590961,9.139417
702,Pieve di Coriano v. Bugatte,16,Pieve di Coriano,4988901,666747,45.03394468,11.11691932
608,Codogno v.Trento,59,Codogno,5000892,554872,45.15937678,9.69815314
601,Montanaso Lombardo SP 202,84,Montanaso Lombardo,5020391,535459,45.33613419,9.45255314
592,Treviglio p.zza Insurrezione,191,Treviglio,5040815,546236,45.51933533,9.59201917
503,Milano P.zza Zavattari,122,Milano,5035847,511082,45.47606529,9.14178666
501,Milano v.Marche,129,Milano,5038105,514918,45.49631883,9.19093444
515,Pero SS Sempione,141,Pero,5039595,507028,45.50985564,9.08997419
642,Pavia v. Folperti,77,Pavia,5004590,512932,45.19468231,9.16464919
1800,Brescia S.Polo,124,Brescia,5040227,598141,45.5086668,10.25637025
573,Colico v.La Madoneta,229,Colico,5109468,529713,46.1381409,9.38468725
694,Salionze v. Campagna Rossa,109,Salionze,5029205,635124,45.40331803,10.72660167
688,Scaldasole v. XI Febbraio,88,Scaldasole,4996773,493060,45.12440253,8.91176758
664,Mantova p.zza Gramsci,18,Mantova,5001351,640031,45.15175186,10.78141717
514,Rho via Buon Gesù,152,Rho,5041100,503483,45.52342919,9.0446025
558,Busto Arsizio  Accam,206,Busto Arsizio,5047718,487687,45.58289429,8.84216546
677,Cremona Via Fatebenefratelli,43,Cremona,4999315,582066,45.14254358,10.04384767
527,Castano Primo v. Olimpiadi,175,Castano Primo,5043625,482522,45.54594739,8.77611
532,Cuggiono v. Languria,156,Cuggiono,5038680,484723,45.50148956,8.80445883
531,Pioltello Limito,114,Pioltello,5036730,525583,45.48363242,9.32736196
567,Chiavenna v.Cerletti,333,Chiavenna,5129768,530454,46.32081378,9.39559186
670,Mantova S.Agnese,22,Mantova,5002356,641122,45.16057658,10.79557331
656,Gambara v.Parma,47,Gambara,5011493,601945,45.24955194,10.29913
660,Ospitaletto v. XXV aprile,155,Ospitaletto,5044985,584681,45.55325867,10.08492175
645,Voghera v.Repubblica,100,Voghera,4981380,500562,44.98587178,9.00714089
1303,Cremona v.Gerre Borghi,36,Cremona,4995675,584111,45.10954275,10.06924181
536,Arese v. Matteotti,157,Arese,5043325,506302,45.54343664,9.08072867
653,Brescia v.Ziziola,125,Brescia,5040836,595170,45.51456611,10.21846492
663,Mantova v.Ariosto,18,Mantova,5000669,641770,45.14526864,10.80333489
507,Villasanta v. A. Volta,176,Villasanta,5050610,523948,45.60862236,9.30711961
602,Melegnano v.Predabissi,83,Melegnano,5022361,525789,45.35428881,9.32924395
709,Vigevano v.Valletta,109,Vigevano,5016690,487833,45.30361483,8.84480578
596,Osio Sotto v.per Levate,182,Osio Sotto,5052072,547691,45.62055568,9.61173782
661,Rezzato v.De Gasperi,147,Rezzato,5041110,604367,45.51571417,10.33624003
698,Ceneselli v. Moro,13,Ceneselli,4987161,686934,45.013458,11.372581
706,Lecco v.Sora,272,Lecco,5078987,531045,45.86375372,9.39995481
586,Costa Volpino v.Nazionale,192,Costa Volpino,5075429,585212,45.82716061,10.09707131
654,Sarezzo v.Minelli,269,Sarezzo,5055826,593900,45.64962671,10.20509022
1322,DarfoBT,221,Darfo Boario Terme,5080975,591483,45.87626097,10.17883506
