idSensore,Data,Valore
5586,01/12/2024,39.3
5587,01/12/2024,50.6
5591,01/12/2024,23.7
5595,01/12/2024,28.3
5598,01/12/2024,20.6
5599,01/12/2024,25.1
5601,01/12/2024,25.9
5794,01/12/2024,1.1
5798,01/12/2024,0.9
5805,01/12/2024,0.7
5809,01/12/2024,1
5812,01/12/2024,1
5814,01/12/2024,0.9
5989,01/12/2024,2.4
6005,01/12/2024,3.1
6057,01/12/2024,2.9
6366,01/12/2024,68.4
6204,01/12/2024,55.9
6374,01/12/2024,53.3
6380,01/12/2024,42.7
6382,01/12/2024,112.5
6386,01/12/2024,79.3
6398,01/12/2024,114.1
6831,01/12/2024,100.6
6832,01/12/2024,1.3
6841,01/12/2024,24.1
6845,01/12/2024,53
6859,01/12/2024,30.5
9968,01/12/2024,35.1
9969,01/12/2024,25.7
9971,01/12/2024,0.4
9972,01/12/2024,40.1
10451,01/12/2024,81.3
10452,01/12/2024,34.1
10454,01/12/2024,3.1
10457,01/12/2024,24.5
10458,01/12/2024,21.1
10463,01/12/2024,6.5
10505,01/12/2024,87.3
10506,01/12/2024,1.7
5827,01/12/2024,1.1
5834,01/12/2024,0.6
5835,01/12/2024,0.7
5842,01/12/2024,0.6
5845,01/12/2024,1.1
5847,01/12/2024,0.5
5853,01/12/2024,0.9
5950,01/12/2024,18.1
5952,01/12/2024,9
5953,01/12/2024,33.2
5958,01/12/2024,28
5960,01/12/2024,2.1
5965,01/12/2024,28.8
6208,01/12/2024,84.6
6212,01/12/2024,72.8
6218,01/12/2024,167.7
6220,01/12/2024,150.8
6228,01/12/2024,28.6
6230,01/12/2024,98.6
6232,01/12/2024,142.5
6246,01/12/2024,89.7
6248,01/12/2024,124.1
6252,01/12/2024,249.7
6260,01/12/2024,29.5
6264,01/12/2024,70.7
6268,01/12/2024,119.8
6274,01/12/2024,72.8
6276,01/12/2024,172.2
6280,01/12/2024,29.2
6288,01/12/2024,25.9
6300,01/12/2024,91.4
6320,01/12/2024,66
6324,01/12/2024,107
6326,01/12/2024,100.9
6328,01/12/2024,132.9
6330,01/12/2024,-9999
6338,01/12/2024,31.6
5504,01/12/2024,52.4
5507,01/12/2024,40.3
5517,01/12/2024,35.3
5520,01/12/2024,29.6
5531,01/12/2024,46.8
5532,01/12/2024,50.7
5534,01/12/2024,38.5
5542,01/12/2024,37.5
